PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
16-17927-000,"BRKT-SHOCK,UPPER,AS120",159169.0,41388.6,-0.36668460568257616,0.09984062443006651,0.64761876882062
16-18078-001,"BRKT,NRG/PKR REG VLV W/0 GA",56348.0,27058.3,-0.5077065498700851,0.06933260583095813,0.77785476493685
16-18121-001,"BRKT-SHOCK MOUNT,REAR,RH",87335.5,34430.0,-0.45343434932346083,0.06675494941296811,0.7241146577023692
16-18137-000,"BRKT,HT CTRL,A/L,HI ,LH,TRIM'D",70566.6,34613.5,-0.4667140452221993,0.05206011877556601,0.7343944726222364
16-18159-000,"BRKT-MTG,XMBR,IFS,ZF,FRT,LH",170651.0,50752.2,-0.32100164658922786,0.07331238113131217,0.5965554399291721
16-18159-001,"BRKT-MTG,XMBR,IFS,ZF,REAR,LH",170651.0,50752.2,-0.32100164658922786,0.07331238113131217,0.5965554399291721
16-18288-002,"BRKT-SPR HGR,FRT,20K,LH,THRD",916572.0,135507.0,0.6279959844134477,0.3686889671830949,0.5809674345623826
16-18288-003,"BRKT-SPR HGR,FRT,20K,RH,THRD",916574.0,135507.0,0.6279976526520643,0.3686906354217114,0.5809697840899691
16-18313-000,"BRKT-SHOCK ABSORBER,LWR",402016.0,96600.2,0.04877209876630041,0.08951066328111593,0.2663607950318238
16-18318-000,"BRKT-MTG,HGT CNTRL VLV",45285.4,22972.9,-0.5326871883783763,0.07585818782041327,0.8036202661958887
16-18557-000,"BRKT-BUSHING,SWAYBAR",29965.5,15269.7,-0.5751689896594602,0.09278274032065756,0.8485955384715026
16-18560-000,"BRKT-SPR HGR,FRT,16K,07M2/ACT",414521.0,82009.2,0.0029405509833973203,0.15620353496328718,0.3446790349882287
16-18561-001,"BRKT-SPRHGR,FRT,16K,AWD,RH,THD",1268490.0,166037.0,1.0392598271970284,0.5445083218391505,1.0002006590006216
16-18691-000,"BRKT,LACM+RR BRK VLV MTG",96627.6,45306.5,-0.40374435686039833,0.03256639699823743,0.669020059421344
16-18769-000,"BRKT-LEV VALVE MTG,OFFSET 55MM",44739.4,31095.2,-0.5018234107418029,0.04408355189923371,0.7676712294624862
16-18857-010,"BRKT-PLATE,UPPER,ISC",82912.3,20104.6,-0.5123618944723659,0.1183035415133931,0.7930874803690388
16-18857-030,"BRKT-PLATE,LOWER,M2,ISC",116010.0,26373.7,-0.460581109102215,0.12173761740040394,0.7439358155359584
16-19105-000,"BRKT-SPR HGR,FRT,AB,WBO,LH",873996.0,158109.0,0.6796347696917602,0.24602325456889756,0.5330433753511078
16-19105-001,"BRKT-SPR HGR,FRT,AB,WBO,RH",873996.0,158109.0,0.6796347696917602,0.24602325456889756,0.5330433753511078
16-19264-000,"BRKT-MTG,L/A GA & REGULATOR",75815.9,36536.6,-0.4549201195877593,0.049023278110692424,0.7222501279376018
16-19264-001,"BRKT-MTG,L/A REGULATOR",63815.2,30180.2,-0.48944011460577974,0.0635232419637431,0.7588229427896214
16-19310-000,"BRKT-SWAYBAR,FRM MTD",130938.0,45864.8,-0.3729726112055725,0.05903258557079667,0.6437852438974737
16-19355-000,"BRKT-HGT CNTRL LKG,AXLE",26716.9,13570.4,-0.5844311305200124,0.09662544121166465,0.8584428892283646
16-19355-001,"BRKT-HGT CNTRL LKG,AXLE",26716.9,13570.4,-0.5844311305200124,0.09662544121166465,0.8584428892283646
16-19403-030,"BRKT-SWAYBAR MTG, M2106",6653.21,2950.68,-0.6421157825798912,0.12083907082416187,0.9199205700806599
16-19405-010,"PLATE-LINK,UPPER MTG BRKT",121802.0,25979.9,-0.45726836434700874,0.12808731071193585,0.7424793744525214
16-19407-000,BRKT-SWAYBAR LINK MTG,37320.7,15208.4,-0.5692702452402781,0.09915422457351852,0.8441295205631538
16-19439-000,"BRKT-MTG,SHOCK,UPPER,LH",124019.0,44299.8,-0.3847784490917305,0.05929588046942669,0.6553816122983853
16-19439-001,"BRKT-MTG,SHOCK,UPPER,RH",124019.0,44299.8,-0.3847784490917305,0.05929588046942669,0.6553816122983853
16-19443-000,"BRKT-END LINK,SWAYBAR,GAS",292092.0,99796.7,-0.03059207841643713,-0.0145046212157269,0.29359873601187975
16-19454-000,BRKT-LH LEVELING VALVE,79536.4,40469.0,-0.4366536292564087,0.036963469552010915,0.7022048647032878
16-19454-001,BRKT-RH LEVELING VALVE,79535.3,40468.9,-0.4366549323829444,0.03696293761606851,0.7022060635078592
16-19498-000,"AX STOP/SHOCK BRKT,LH,MACH",1365680.0,121550.0,0.9487881031499847,0.7971161570233288,1.115809597842437
16-19498-001,"AX STOP/SHOCK BRKT,RH,MACH",1365680.0,121550.0,0.9487881031499847,0.7971161570233288,1.115809597842437
