PART_NO,ITEM_DESC,DEPT_CNTL,MSTR_NO,VOLUME,SURF_A,x_cog,y_cog,z_cog,PC1,PC2,Distance
22-77568-010,"BRKT-FENDER,LH",N,66715,133582.0,63966.6,345381.0,-877003.0,-132041.0,-0.4420098952173928,0.03595272976130178,0.9600616304556071
22-77568-020,"BRKT-FENDER,RH",N,66715,133583.0,63966.6,345381.0,877003.0,-132041.0,-0.33475207740611823,-1.1543721656415904,0.5040085993116092
22-77569-010,"BRKT-FENDER,LH",N,667D1,149972.0,94069.0,476457.0,-798545.0,-333247.0,-0.10910790520217174,0.33797363990003,1.1482857765792176
22-77569-020,"BRKT-FENDER,RH",N,667D1,149972.0,94069.0,476457.0,798545.0,-333247.0,-0.011446266249346814,-0.7458629750663126,0.06773365527600356
22-77601-000,"BRKT-SUPT,SLND,A/C,EB2",W,70032,71351.9,60422.2,841645.0,452285.0,147138.0,-0.34083536623331195,0.38420987402336776,1.2419472447987594
22-77639-000,"BRKT-MTG,INTERLUBE UPPER SUPT",W,28802,46027.7,31424.3,414481.0,198676.0,12616.3,-0.5981442891854847,-0.486163602388127,0.6996090159485668
22-77640-000,"BRKT-MTG,INTERLUBE LOWER SUPT",W,28802,87576.8,58381.3,80665.4,92513.5,40425.4,-0.4801011658226808,-0.5087401174499965,0.5850487680387716
22-77645-000,"BRKT-SUPT,#8,BLKHD,A/C,EB2",W,70032,17524.1,12399.8,434267.0,-164549.0,623090.0,-0.7455944048598211,1.3673116948948172,2.30275251464651
22-77686-000,"BRKT-MUDFLAP,PASS SIDE",W,58511,77808.8,29781.4,3147220.0,433000.0,-135906.0,-0.43853769206555177,0.5672503663849068,1.4462112203276616
22-77701-000,"BRKT-MUDFLAP,DRIVER SIDE",W,58511,63945.1,24754.7,3227310.0,-440080.0,-139240.0,-0.5206479924448982,1.1875875416439081,2.0636335765759615
22-77713-004,"BRKT,MDFLP,SST,MTRD,W/ TAPE,LH",R,58503,553859.0,673090.0,338214.0,-388.042,-22540.3,2.640382107167098,0.3015542960346002,2.837937139969741
22-77713-005,"BRKT,MDFLP,SST,MTRD,W/TAPE,RH",R,58503,553859.0,673090.0,338214.0,388.042,14602.8,2.629017009061038,0.35743178034310585,2.8497505020374345
22-77715-001,"BRKT-RR MUDFLP,SST,MTRD,W/LBL",R,58503,574532.0,630278.0,-271323.0,-297.456,-20488.5,2.498267367398967,0.06221334081922867,2.619131778470864
